縣市別代碼,年別,項目,原始值[統計數值],年增率[%]
63000,97年,4月,89.64,3.79
63000,97年,5月,89.75,3.57
63000,97年,6月,90.88,4.46
63000,97年,7月,91.55,5.05
63000,97年,8月,91.68,4.07
63000,97年,9月,91.29,3.12
63000,97年,10月,92.36,2.42
63000,97年,11月,91.3,2.06
63000,97年,12月,90.14,1.63
63000,97年,年指數,90.43,3.4
63000,98年,1月,90.18,2.12
63000,98年,2月,88.71,-1.18
63000,98年,3月,88.77,0.3
63000,98年,4月,89.44,-0.23
63000,98年,5月,89.49,-0.29
63000,98年,6月,89.29,-1.76
63000,98年,7月,89.52,-2.22
63000,98年,8月,90.39,-1.41
63000,98年,9月,89.83,-1.59
63000,98年,10月,90.32,-2.21
63000,98年,11月,89.52,-1.95
63000,98年,12月,89.12,-1.13
63000,98年,年指數,89.55,-0.98
63000,99年,1月,89,-1.31
63000,99年,2月,90.35,1.85
63000,99年,3月,88.92,0.17
63000,99年,4月,89.83,0.43
63000,99年,5月,89.5,0.01
63000,99年,6月,90.03,0.83
63000,99年,7月,90.17,0.73
63000,99年,8月,89.96,-0.48
63000,99年,9月,90.21,0.42
63000,99年,10月,90.81,0.54
63000,99年,11月,90.84,1.47
63000,99年,12月,90.28,1.3
63000,99年,年指數,89.99,0.49
63000,100年,1月,90.12,1.27
63000,100年,2月,91.38,1.14
63000,100年,3月,90.15,1.39
63000,100年,4月,91.02,1.33
63000,100年,5月,91.17,1.87
63000,100年,6月,91.6,1.74
63000,100年,7月,91.56,1.54
63000,100年,8月,91.42,1.63
63000,100年,9月,91.34,1.25
63000,100年,10月,91.95,1.26
63000,100年,11月,91.92,1.19
63000,100年,12月,91.8,1.69
63000,100年,年指數,91.29,1.44
63000,101年,1月,92.5,2.64
63000,101年,2月,91.06,-0.35
63000,101年,3月,91.22,1.19
63000,101年,4月,92.33,1.44
63000,101年,5月,92.52,1.48
63000,101年,6月,93.1,1.64
63000,101年,7月,93.31,1.91
63000,101年,8月,93.87,2.68
63000,101年,9月,93.54,2.41
63000,101年,10月,93.61,1.8
63000,101年,11月,92.98,1.16
63000,101年,12月,93.16,1.48
63000,101年,年指數,92.77,1.62
63000,102年,1月,92.96,0.5
63000,102年,2月,93.84,3.06
63000,102年,3月,92.28,1.16
63000,102年,4月,92.81,0.52
63000,102年,5月,92.93,0.44
63000,102年,6月,93.32,0.24
63000,102年,7月,93.49,0.2
63000,102年,8月,93.63,-0.26
63000,102年,9月,94.58,1.11
63000,102年,10月,94.7,1.16
63000,102年,11月,93.93,1.02
63000,102年,12月,93.86,0.75
63000,102年,年指數,93.53,0.82
63000,103年,1月,94.52,1.67
63000,103年,2月,93.68,-0.17
63000,103年,3月,94.01,1.88
63000,103年,4月,94.74,2.08
63000,103年,5月,94.9,2.12
63000,103年,6月,95.7,2.55
