date,reserve_capacity_mw,reserve_margin_pct
2023-04-10,4450.0,14.9
2023-04-11,3394.0,10.95
2023-04-12,5629.0,17.81
2023-04-13,5821.0,18.07
2023-04-14,5136.0,15.86
2023-04-15,3970.0,14.12
2023-04-16,3630.0,13.07
2023-04-17,3685.0,11.23
2023-04-18,3315.0,9.86
2023-04-19,3416.0,10.06
2023-04-20,2421.0,7.41
2023-04-21,5448.0,16.98
2023-04-22,5625.0,20.27
2023-04-23,4798.0,17.52
2023-04-24,8036.0,25.45
2023-04-25,6375.0,20.47
2023-04-26,8625.0,28.4
2023-04-27,6592.0,21.31
2023-04-28,8259.0,25.82
2023-04-29,3928.0,13.82
2023-04-30,6158.0,23.49
2023-05-01,7495.0,27.82
2023-05-02,7933.0,24.38
2023-05-03,6371.0,18.85
2023-05-04,6564.0,19.1
2023-05-05,6370.0,17.9
2023-05-06,9556.0,30.92
2023-05-07,5263.0,18.7
2023-05-08,8830.0,28.35
2023-05-09,7289.0,24.0
2023-05-10,8220.0,26.25
2023-05-11,6214.0,19.59
2023-05-12,6093.0,19.01
2023-05-13,8524.0,31.03
2023-05-14,4684.0,17.37
2023-05-15,6905.0,22.11
2023-05-16,5702.0,17.47
2023-05-17,5608.0,16.53
2023-05-18,4519.0,12.87
2023-05-19,4705.0,13.94
2023-05-20,4501.0,15.25
2023-05-21,3763.0,12.76
2023-05-22,4628.0,13.09
2023-05-23,9158.0,28.64
2023-05-24,6926.0,21.1
2023-05-25,6302.0,18.76
2023-05-26,5746.0,16.68
2023-05-27,8321.0,27.98
2023-05-28,3689.0,12.45
2023-05-29,5124.0,14.3
2023-05-30,4657.0,12.8
2023-05-31,4684.0,13.17
2023-06-01,6850.0,19.82
2023-06-02,5401.0,14.92
2023-06-03,5950.0,18.59
2023-06-04,3022.0,9.84
2023-06-05,6009.0,16.56
2023-06-06,6374.0,17.31
2023-06-07,5542.0,14.92
2023-06-08,5192.0,13.95
2023-06-09,5510.0,15.08
2023-06-10,7160.0,22.42
2023-06-11,4040.0,13.34
2023-06-12,5730.0,16.6
2023-06-13,5777.0,16.34
2023-06-14,4924.0,13.71
2023-06-15,6063.0,17.65
2023-06-16,5355.0,15.18
2023-06-17,4654.0,13.58
2023-06-18,3695.0,11.73
2023-06-19,6732.0,18.27
2023-06-20,5988.0,15.77
2023-06-21,5976.0,15.68
2023-06-22,4366.0,13.5
2023-06-23,9310.0,29.46
2023-06-24,9216.0,29.07
2023-06-25,3428.0,10.68
2023-06-26,5259.0,13.81
2023-06-27,5272.0,13.87
2023-06-28,4494.0,11.98
2023-06-29,5517.0,14.39
2023-06-30,6136.0,16.28
2023-07-01,9086.0,27.63
2023-07-02,4613.0,14.45
2023-07-03,6972.0,18.3
2023-07-04,7266.0,18.8
2023-07-05,6707.0,17.06
2023-07-06,6461.0,16.43
2023-07-07,6982.0,17.79
2023-07-08,8785.0,25.23
2023-07-09,4011.0,11.87
2023-07-10,5424.0,13.81
2023-07-11,4075.0,10.29
2023-07-12,5260.0,13.61
2023-07-13,4678.0,11.98
2023-07-14,4496.0,11.47
2023-07-15,7805.0,22.44
2023-07-16,3299.0,10.04
2023-07-17,4571.0,11.7
2023-07-18,3195.0,8.25
2023-07-19,3967.0,10.2
2023-07-20,4652.0,12.0
2023-07-21,6625.0,17.25
2023-07-22,9688.0,28.77
2023-07-23,8867.0,27.94
2023-07-24,6746.0,17.88
2023-07-25,6635.0,17.19
2023-07-26,4386.0,11.88
2023-07-27,5396.0,15.89
2023-07-28,6298.0,19.56
2023-07-29,9602.0,30.65
2023-07-30,4489.0,14.63
2023-07-31,7285.0,20.12
2023-08-01,7188.0,19.6
2023-08-02,5653.0,15.42
2023-08-03,8162.0,23.79
2023-08-04,5161.0,13.97
2023-08-05,4935.0,15.55
2023-08-06,3405.0,10.42
2023-08-07,4051.0,10.46
2023-08-08,4419.0,11.64
2023-08-09,6024.0,15.87
2023-08-10,3886.0,10.19
2023-08-11,6557.0,17.77
2023-08-12,9859.0,30.28
2023-08-13,5076.0,16.03
2023-08-14,6239.0,16.83
2023-08-15,5576.0,14.72
2023-08-16,6272.0,17.33
2023-08-17,5145.0,13.91
2023-08-18,5541.0,15.31
2023-08-19,8495.0,26.9
2023-08-20,4553.0,14.65
2023-08-21,7829.0,20.92
2023-08-22,6425.0,16.68
2023-08-23,6830.0,17.88
2023-08-24,5185.0,13.54
2023-08-25,6727.0,17.65
2023-08-26,7704.0,22.6
2023-08-27,4911.0,15.33
2023-08-28,6878.0,18.1
2023-08-29,5757.0,14.68
2023-08-30,4843.0,12.48
2023-08-31,5159.0,13.64
2023-09-01,4965.0,12.94
2023-09-02,7553.0,22.94
2023-09-03,6528.0,21.96
2023-09-04,10210.0,32.35
2023-09-05,5629.0,15.29
2023-09-06,7064.0,19.19
2023-09-07,7597.0,21.31
2023-09-08,6828.0,19.52
2023-09-09,9369.0,30.79
2023-09-10,7502.0,25.1
2023-09-11,10241.0,29.18
2023-09-12,7781.0,21.4
2023-09-13,6868.0,18.82
2023-09-14,5565.0,15.2
2023-09-15,5426.0,14.67
2023-09-16,6956.0,21.52
2023-09-17,3410.0,10.8
2023-09-18,5291.0,14.24
2023-09-19,5134.0,13.68
2023-09-20,5294.0,14.02
2023-09-21,5679.0,15.16
2023-09-22,5257.0,13.71
2023-09-23,5725.0,15.58
2023-09-24,3554.0,10.98
2023-09-25,5938.0,15.59
2023-09-26,6507.0,17.39
2023-09-27,6125.0,16.1
2023-09-28,4778.0,12.57
2023-09-29,8772.0,27.61
2023-09-30,6993.0,22.65
2023-10-01,5938.0,19.47
2023-10-02,7752.0,21.85
2023-10-03,9195.0,26.66
2023-10-04,5666.0,16.52
2023-10-05,7419.0,24.53
2023-10-06,5045.0,14.57
2023-10-07,8133.0,26.95
2023-10-08,5665.0,20.11
2023-10-09,7606.0,27.6
2023-10-10,6488.0,22.53
2023-10-11,8028.0,24.54
2023-10-12,10104.0,30.76
2023-10-13,9403.0,28.22
2023-10-14,9226.0,31.71
2023-10-15,6003.0,21.64
2023-10-16,6713.0,20.95
2023-10-17,6773.0,20.98
2023-10-18,4583.0,13.57
2023-10-19,5270.0,15.4
2023-10-20,6736.0,19.94
2023-10-21,5786.0,20.76
2023-10-22,5132.0,18.71
2023-10-23,6297.0,19.06
2023-10-24,5589.0,16.4
2023-10-25,5217.0,15.1
2023-10-26,5767.0,16.82
2023-10-27,6941.0,21.42
2023-10-28,5933.0,21.39
2023-10-29,6780.0,25.31
2023-10-30,9505.0,29.71
2023-10-31,9167.0,28.43
2023-11-01,7084.0,21.55
2023-11-02,6659.0,20.07
2023-11-03,6601.0,19.88
2023-11-04,4214.0,14.49
2023-11-05,3146.0,11.09
2023-11-06,4460.0,13.17
2023-11-07,7493.0,23.19
2023-11-08,6327.0,18.88
2023-11-09,5587.0,16.55
2023-11-10,6173.0,18.14
2023-11-11,5976.0,21.04
2023-11-12,5638.0,21.06
2023-11-13,7090.0,23.88
2023-11-14,7803.0,25.89
2023-11-15,7429.0,24.28
2023-11-16,7580.0,24.32
2023-11-17,10477.0,36.23
2023-11-18,6654.0,25.29
2023-11-19,5591.0,21.76
2023-11-20,4810.0,16.44
2023-11-21,5315.0,17.68
2023-11-22,7282.0,23.95
2023-11-23,8096.0,26.63
2023-11-24,9997.0,33.88
2023-11-25,5582.0,20.73
2023-11-26,4658.0,17.68
2023-11-27,3961.0,13.28
2023-11-28,7533.0,25.09
2023-11-29,6040.0,19.94
2023-11-30,7620.0,25.22
2023-12-01,7656.0,26.24
2023-12-02,4934.0,18.45
2023-12-03,4772.0,18.13
2023-12-04,5102.0,17.01
2023-12-05,5668.0,18.89
2023-12-06,5541.0,18.44
2023-12-07,5427.0,18.39
2023-12-08,4714.0,15.68
2023-12-09,2842.0,10.37
2023-12-10,3323.0,12.24
2023-12-11,4598.0,14.72
2023-12-12,7215.0,23.46
2023-12-13,5593.0,18.23
2023-12-14,3799.0,12.11
2023-12-15,4561.0,14.48
2023-12-16,4986.0,18.76
2023-12-17,4923.0,18.86
2023-12-18,3922.0,13.42
2023-12-19,6967.0,23.43
2023-12-20,7347.0,25.0
2023-12-21,4672.0,15.96
2023-12-22,5802.0,20.12
2023-12-23,4986.0,18.12
2023-12-24,5554.0,20.79
2023-12-25,5236.0,18.37
2023-12-26,4201.0,14.47
2023-12-27,5456.0,18.89
2023-12-28,6977.0,23.86
2023-12-29,6209.0,22.16
2023-12-30,3407.0,12.77
2023-12-31,6122.0,24.45
2024-01-01,5431.0,21.44
2024-01-02,4097.0,14.27
2024-01-03,5212.0,17.97
2024-01-04,4259.0,14.52
2024-01-05,4984.0,17.22
2024-01-06,4838.0,18.13
2024-01-07,5533.0,21.27
2024-01-08,5096.0,17.59
2024-01-09,4145.0,14.07
2024-01-10,4569.0,15.86
2024-01-11,4983.0,17.14
2024-01-12,7673.0,26.67
2024-01-13,6317.0,24.02
2024-01-14,4710.0,18.03
2024-01-15,7034.0,24.27
2024-01-16,4742.0,16.24
2024-01-17,2976.0,10.0
2024-01-18,4961.0,16.68
2024-01-19,9055.0,30.51
2024-01-20,4961.0,18.31
2024-01-21,6097.0,23.5
2024-01-22,3804.0,12.97
2024-01-23,3066.0,10.2
2024-01-24,2914.0,9.69
2024-01-25,3139.0,10.35
2024-01-26,5044.0,17.36
2024-01-27,4230.0,15.34
2024-01-28,4004.0,14.73
2024-01-29,3550.0,12.24
2024-01-30,5282.0,17.9
2024-01-31,4374.0,14.66
2024-02-01,5236.0,17.6
2024-02-02,6705.0,22.8
2024-02-03,4386.0,16.07
2024-02-04,3269.0,12.17
2024-02-05,6724.0,23.21
